description,category,amount,date
Mall shopping,Shopping,5147,04-01-2023
Miscellaneous expense,Medical,125,19-02-2023
Fuel refill,Transport,8700,02-08-2023
Anniversary present,Gifts,7160,29-03-2023
Miscellaneous expense,Medical,3153,27-12-2023
Book purchase,Education,8070,04-04-2023
Clothes shopping,Shopping,7483,18-10-2023
Footwear purchase,Shopping,3392,31-01-2023
Miscellaneous expense,Medical,4349,29-07-2023
Doctor visit,Healthcare,2821,10-02-2023
Health insurance premium,Insurance,6288,05-03-2023
Miscellaneous expense,Dining,5705,16-01-2023
Gym membership,Fitness,7929,06-09-2023
Cleaning supplies,Household,255,01-02-2023
Miscellaneous expense,Dining,9642,22-01-2023
House maintenance fee,Rent,8657,04-01-2023
Gas connection payment,Utilities,8061,31-08-2023
Miscellaneous expense,Personal Care,5614,09-07-2023
New furniture,Household,5264,03-05-2023
Internet bill,Utilities,6300,09-11-2023
Monthly grocery stock,Groceries,5510,21-02-2023
Gaming subscription,Entertainment,6683,13-03-2023
Movie ticket,Entertainment,8793,24-05-2023
Travel insurance,Travel,7504,13-11-2023
Home decor,Household,7885,21-09-2023
Dinner at restaurant,Dining Out,151,23-11-2023
Miscellaneous expense,Personal Care,6001,24-01-2023
Miscellaneous expense,Personal Care,3926,07-11-2023
Tour package,Travel,1433,28-06-2023
Ordered food online,Dining Out,1745,17-07-2023
Home insurance,Insurance,3296,31-12-2023
Course fee,Education,2194,12-09-2023
Train ticket,Transport,9090,28-08-2023
Miscellaneous expense,Medical,1995,04-09-2023
Home decor,Household,4046,05-05-2023
Footwear purchase,Shopping,1565,24-02-2023
Lunch with friends,Dining Out,2725,17-06-2023
Gas connection payment,Utilities,3710,12-05-2023
New furniture,Household,2116,07-12-2023
Library fee,Education,1581,21-12-2023
Miscellaneous expense,Personal Care,9536,04-11-2023
Train ticket,Transport,6276,15-07-2023
Gift cards,Gifts,9306,12-08-2023
Hotel booking,Travel,4344,01-03-2023
Health insurance premium,Insurance,1924,15-02-2023
Miscellaneous expense,Personal Care,2002,21-10-2023
Water bill,Utilities,5234,14-07-2023
Fitness supplement,Fitness,127,09-06-2023
Supermarket visit,Groceries,6459,05-08-2023
Miscellaneous expense,Personal Care,2169,24-09-2023
Home decor,Household,9779,24-04-2023
Monthly housing fee,Rent,250,03-10-2023
Health checkup,Healthcare,2470,01-06-2023
Tour package,Travel,7567,17-03-2023
Vet visit,Pets,2489,07-12-2023
Monthly grocery stock,Groceries,5160,15-09-2023
Water bill (rent included),Rent,9503,02-09-2023
Birthday gift,Gifts,8210,30-05-2023
Electricity bill,Utilities,5558,20-03-2023
Footwear purchase,Shopping,961,02-04-2023
Tour package,Travel,5000,04-12-2023
Miscellaneous expense,Medical,9077,20-07-2023
Miscellaneous expense,Personal Care,7856,28-06-2023
Internet bill,Utilities,1276,28-09-2023
Car insurance renewal,Insurance,3296,25-12-2023
Car insurance renewal,Insurance,1694,09-03-2023
Miscellaneous expense,Personal Care,5081,23-08-2023
Birthday gift,Gifts,9556,12-03-2023
Lab test fee,Healthcare,4869,16-03-2023
Footwear purchase,Shopping,3305,30-11-2023
Netflix renewal,Entertainment,9531,22-02-2023
Cleaning supplies,Household,6269,07-08-2023
Cleaning supplies,Household,1022,19-02-2023
Internet bill,Utilities,3043,27-01-2023
Water bill (rent included),Rent,9822,11-08-2023
Library fee,Education,4114,18-01-2023
House maintenance fee,Rent,6598,08-09-2023
Home insurance,Insurance,9867,30-03-2023
Gift cards,Gifts,6250,21-12-2023
Home decor,Household,1568,26-08-2023
Anniversary present,Gifts,4609,20-11-2023
Anniversary present,Gifts,6118,06-01-2023
Apartment rent,Rent,1453,04-03-2023
Hotel booking,Travel,477,28-10-2023
Fitness supplement,Fitness,7956,21-05-2023
House maintenance fee,Rent,6390,05-09-2023
Gift cards,Gifts,7205,02-06-2023
Gym membership,Fitness,1729,16-06-2023
Cab ride,Transport,6740,25-12-2023
Gaming subscription,Entertainment,9210,02-10-2023
Mall shopping,Shopping,1147,23-09-2023
Fitness supplement,Fitness,2133,17-04-2023
Cleaning supplies,Household,3060,03-11-2023
Miscellaneous expense,Medical,9188,17-08-2023
Miscellaneous expense,Personal Care,741,07-03-2023
Gym membership,Fitness,2741,14-02-2023
Car insurance renewal,Insurance,673,13-02-2023
Water bill (rent included),Rent,6056,06-10-2023
Miscellaneous expense,Medical,101,08-05-2023
Health insurance premium,Insurance,8610,31-05-2023
Home decor,Household,7389,13-03-2023
Yoga class fee,Fitness,5227,25-09-2023
Water bill,Utilities,1722,06-12-2023
Supermarket visit,Groceries,701,07-04-2023
Online class payment,Education,3626,10-03-2023
Pet grooming,Pets,3639,30-10-2023
Gas connection payment,Utilities,2205,15-11-2023
Lunch with friends,Dining Out,9108,11-05-2023
Miscellaneous expense,Dining,2775,24-07-2023
Doctor visit,Healthcare,4264,13-12-2023
Dinner at restaurant,Dining Out,8880,15-04-2023
Train ticket,Transport,3256,01-01-2024
Water bill,Utilities,6976,20-03-2023
Miscellaneous expense,Personal Care,6308,14-01-2023
Pet food,Pets,1370,19-05-2023
Apartment rent,Rent,9084,28-07-2023
Train ticket,Transport,1557,05-07-2023
Miscellaneous expense,Personal Care,2497,26-04-2023
Miscellaneous expense,Dining,1704,13-07-2023
Tour package,Travel,1820,05-03-2023
Miscellaneous expense,Medical,9747,08-09-2023
Water bill (rent included),Rent,9474,25-05-2023
Car insurance renewal,Insurance,1723,25-01-2023
Miscellaneous expense,Medical,6482,03-04-2023
Internet bill,Utilities,7912,31-10-2023
Online class payment,Education,255,18-12-2023
Footwear purchase,Shopping,2170,15-03-2023
Gas connection payment,Utilities,966,24-11-2023
Water bill,Utilities,6952,28-12-2023
Medicine purchase,Healthcare,7291,01-07-2023
Health checkup,Healthcare,4619,08-08-2023
Footwear purchase,Shopping,5100,22-11-2023
Train ticket,Transport,6760,10-06-2023
Bus pass recharge,Transport,1356,03-05-2023
Cab ride,Transport,9525,30-01-2023
Train ticket,Transport,9179,10-09-2023
Gaming subscription,Entertainment,8434,11-03-2023
Tour package,Travel,8537,17-12-2023
Home decor,Household,2142,27-07-2023
Concert ticket,Entertainment,219,01-01-2024
Café snacks,Dining Out,4101,05-12-2023
Clothes shopping,Shopping,7450,28-03-2023
Home decor,Household,3787,31-03-2023
Train ticket,Transport,2284,21-09-2023
Electricity bill,Utilities,7025,11-09-2023
Water bill,Utilities,6215,27-02-2023
Miscellaneous expense,Personal Care,8932,02-03-2023
Car insurance renewal,Insurance,8015,31-05-2023
Miscellaneous expense,Dining,136,20-11-2023
Yoga class fee,Fitness,3662,06-06-2023
Gift cards,Gifts,680,26-08-2023
Vet visit,Pets,1042,02-07-2023
Gaming subscription,Entertainment,5482,02-06-2023
Electricity bill,Utilities,184,29-06-2023
Miscellaneous expense,Medical,5908,05-01-2023
Monthly housing fee,Rent,8161,12-04-2023
Cab ride,Transport,6829,05-03-2023
Flight booking,Travel,2649,03-12-2023
Miscellaneous expense,Dining,7811,22-07-2023
Gas connection payment,Utilities,6071,08-08-2023
Miscellaneous expense,Medical,1880,13-08-2023
New furniture,Household,2751,13-03-2023
Internet bill,Utilities,195,03-07-2023
Clothes shopping,Shopping,3205,26-05-2023
Supermarket visit,Groceries,6564,04-08-2023
Miscellaneous expense,Personal Care,2726,08-12-2023
Mall shopping,Shopping,4454,02-03-2023
Ordered food online,Dining Out,9113,11-09-2023
Home decor,Household,2187,16-06-2023
Internet bill,Utilities,2253,26-02-2023
Apartment rent,Rent,2166,21-03-2023
Electricity bill,Utilities,3974,27-01-2023
New furniture,Household,7139,02-11-2023
Gaming subscription,Entertainment,7967,29-05-2023
Car insurance renewal,Insurance,1453,08-08-2023
Hotel booking,Travel,8476,06-04-2023
Travel insurance,Travel,1984,15-05-2023
Tour package,Travel,3350,31-08-2023
House maintenance fee,Rent,3191,30-10-2023
Gift cards,Gifts,2536,28-04-2023
House maintenance fee,Rent,6674,20-01-2023
Miscellaneous expense,Dining,2495,07-08-2023
Concert ticket,Entertainment,1589,27-01-2023
Internet bill,Utilities,8701,06-06-2023
Birthday gift,Gifts,3733,22-06-2023
Ordered food online,Dining Out,1105,19-09-2023
Lunch with friends,Dining Out,5085,26-02-2023
Miscellaneous expense,Dining,4696,29-06-2023
Dinner at restaurant,Dining Out,5340,25-01-2023
Miscellaneous expense,Medical,108,27-01-2023
Home decor,Household,5369,19-04-2023
Car insurance renewal,Insurance,4690,07-11-2023
Monthly housing fee,Rent,3128,10-05-2023
Travel insurance,Travel,5576,05-06-2023
Apartment rent,Rent,323,16-12-2023
Health insurance premium,Insurance,5526,04-07-2023
Gas connection payment,Utilities,4003,29-11-2023
Miscellaneous expense,Dining,9673,16-07-2023
Bus pass recharge,Transport,2237,19-11-2023
Pet food,Pets,772,28-10-2023
Birthday gift,Gifts,3260,27-12-2023
Doctor visit,Healthcare,1326,07-10-2023
Vet visit,Pets,5039,31-08-2023
Footwear purchase,Shopping,817,07-03-2023
Mall shopping,Shopping,9119,31-12-2023
Miscellaneous expense,Dining,6096,18-08-2023
Gift cards,Gifts,2023,12-08-2023
Fuel refill,Transport,6964,26-09-2023
Clothes shopping,Shopping,2835,03-11-2023
Miscellaneous expense,Dining,4845,24-01-2023
Gym membership,Fitness,3216,23-07-2023
Flight booking,Travel,2811,13-08-2023
Mall shopping,Shopping,9315,19-07-2023
Gas connection payment,Utilities,3490,05-04-2023
Concert ticket,Entertainment,9469,22-04-2023
Fitness supplement,Fitness,245,20-09-2023
Health checkup,Healthcare,5071,23-04-2023
Home insurance,Insurance,4499,10-10-2023
House maintenance fee,Rent,3768,24-01-2023
Health insurance premium,Insurance,4881,21-01-2023
Birthday gift,Gifts,4650,10-03-2023
Miscellaneous expense,Dining,4179,18-04-2023
Health insurance premium,Insurance,122,29-11-2023
Gas connection payment,Utilities,5417,12-02-2023
Car insurance renewal,Insurance,2289,29-07-2023
Vet visit,Pets,5418,30-01-2023
Birthday gift,Gifts,5924,23-04-2023
Miscellaneous expense,Dining,4294,09-01-2023
Home insurance,Insurance,9656,24-02-2023
Gas connection payment,Utilities,9125,16-04-2023
Medicine purchase,Healthcare,5412,18-05-2023
Mall shopping,Shopping,2650,17-08-2023
Tour package,Travel,6139,17-03-2023
Flight booking,Travel,8225,03-04-2023
Medicine purchase,Healthcare,2985,07-04-2023
Yoga class fee,Fitness,3055,28-11-2023
Health insurance premium,Insurance,5181,25-03-2023
Miscellaneous expense,Medical,3177,05-02-2023
Course fee,Education,7086,06-05-2023
Lab test fee,Healthcare,1742,27-09-2023
Course fee,Education,9984,21-02-2023
Internet bill,Utilities,439,26-02-2023
Movie ticket,Entertainment,2265,08-05-2023
Train ticket,Transport,2436,18-11-2023
Pet food,Pets,253,24-02-2023
Home insurance,Insurance,5644,29-12-2023
Cab ride,Transport,2381,03-09-2023
Yoga class fee,Fitness,2772,07-06-2023
Miscellaneous expense,Personal Care,2631,05-05-2023
Monthly grocery stock,Groceries,9006,05-03-2023
Movie ticket,Entertainment,1784,06-10-2023
Health insurance premium,Insurance,8481,01-08-2023
Course fee,Education,3775,13-01-2023
Tour package,Travel,6414,17-03-2023
Gas connection payment,Utilities,3800,17-12-2023
Electricity bill,Utilities,8157,28-03-2023
House maintenance fee,Rent,1766,25-05-2023
Electricity bill,Utilities,5567,02-03-2023
Electricity bill,Utilities,810,06-11-2023
Book purchase,Education,7122,29-09-2023
Miscellaneous expense,Personal Care,7067,18-03-2023
Home decor,Household,5040,16-11-2023
Car insurance renewal,Insurance,1802,19-05-2023
Travel insurance,Travel,4448,31-12-2023
Bus pass recharge,Transport,2535,02-12-2023
Online class payment,Education,2521,19-07-2023
Lab test fee,Healthcare,1202,27-02-2023
Yoga class fee,Fitness,4662,16-03-2023
Train ticket,Transport,2189,04-04-2023
Gas connection payment,Utilities,5331,11-09-2023
Ordered food online,Dining Out,6882,05-11-2023
Anniversary present,Gifts,2364,01-12-2023
Tour package,Travel,6959,09-10-2023
Tour package,Travel,8824,02-10-2023
Tour package,Travel,1469,25-10-2023
Dinner at restaurant,Dining Out,1529,01-05-2023
Electricity bill,Utilities,3430,09-01-2023
Internet bill,Utilities,2288,26-02-2023
Monthly grocery stock,Groceries,6012,13-03-2023
Car insurance renewal,Insurance,2461,10-10-2023
Dinner at restaurant,Dining Out,3552,25-04-2023
Supermarket visit,Groceries,2020,23-12-2023
Library fee,Education,531,23-12-2023
Café snacks,Dining Out,986,26-12-2023
Apartment rent,Rent,7912,01-11-2023
Miscellaneous expense,Medical,2506,07-07-2023
Course fee,Education,4114,09-02-2023
Gaming subscription,Entertainment,2552,04-04-2023
Hotel booking,Travel,8741,24-12-2023
Car insurance renewal,Insurance,6842,22-06-2023
Doctor visit,Healthcare,4798,26-02-2023
Course fee,Education,626,06-11-2023
Miscellaneous expense,Medical,278,22-07-2023
Ordered food online,Dining Out,9179,31-12-2023
Miscellaneous expense,Dining,3824,05-08-2023
Miscellaneous expense,Medical,1606,25-09-2023
Water bill,Utilities,3571,25-07-2023
Pet food,Pets,3686,20-07-2023
Miscellaneous expense,Medical,7774,02-09-2023
Miscellaneous expense,Personal Care,6333,26-03-2023
Monthly grocery stock,Groceries,7050,10-04-2023
Miscellaneous expense,Dining,1810,09-02-2023
Gas connection payment,Utilities,559,03-05-2023
Health insurance premium,Insurance,8973,24-02-2023
Cab ride,Transport,9883,06-01-2023
Health insurance premium,Insurance,9138,14-04-2023
Birthday gift,Gifts,4037,18-05-2023
Bus pass recharge,Transport,9336,05-09-2023
Bought vegetables,Groceries,5254,17-02-2023
Health insurance premium,Insurance,5943,25-05-2023
Water bill,Utilities,5252,20-07-2023
Water bill,Utilities,1695,19-06-2023
Lunch with friends,Dining Out,8327,18-03-2023
Gaming subscription,Entertainment,7914,28-10-2023
Monthly grocery stock,Groceries,2741,19-03-2023
New furniture,Household,1390,17-11-2023
Cab ride,Transport,3633,15-12-2023
Birthday gift,Gifts,2738,14-09-2023
Online store order,Shopping,7431,09-03-2023
Miscellaneous expense,Personal Care,6003,16-11-2023
Lunch with friends,Dining Out,6450,03-05-2023
Clothes shopping,Shopping,2596,18-10-2023
Anniversary present,Gifts,1695,08-01-2023
Online class payment,Education,9064,14-02-2023
Flight booking,Travel,7551,10-06-2023
Miscellaneous expense,Medical,2745,04-02-2023
Miscellaneous expense,Dining,5889,15-02-2023
Cab ride,Transport,7648,13-05-2023
Travel insurance,Travel,7342,29-11-2023
Course fee,Education,9418,07-09-2023
Monthly grocery stock,Groceries,4796,25-07-2023
Dinner at restaurant,Dining Out,7322,07-07-2023
Online store order,Shopping,6222,12-02-2023
New furniture,Household,8389,19-08-2023
Miscellaneous expense,Dining,1034,06-05-2023
Health insurance premium,Insurance,2632,23-02-2023
Car insurance renewal,Insurance,2692,19-10-2023
Electricity bill,Utilities,3754,18-07-2023
Doctor visit,Healthcare,5816,27-08-2023
Lab test fee,Healthcare,1887,13-02-2023
Miscellaneous expense,Medical,6603,10-08-2023
Mall shopping,Shopping,5485,03-02-2023
Miscellaneous expense,Personal Care,8067,19-04-2023
Flight booking,Travel,4660,21-08-2023
Supermarket visit,Groceries,7799,16-03-2023
Birthday gift,Gifts,5345,18-10-2023
Fruit market purchase,Groceries,1122,05-07-2023
Ordered food online,Dining Out,3596,28-01-2023
Clothes shopping,Shopping,7029,19-05-2023
Miscellaneous expense,Dining,1469,14-03-2023
Train ticket,Transport,6736,11-02-2023
Home insurance,Insurance,7496,03-08-2023
Footwear purchase,Shopping,4350,05-04-2023
Bought vegetables,Groceries,7121,25-06-2023
Health insurance premium,Insurance,3353,28-06-2023
Ordered food online,Dining Out,7890,02-10-2023
Miscellaneous expense,Medical,5911,21-12-2023
Yoga class fee,Fitness,262,15-10-2023
Pet food,Pets,1374,08-12-2023
Fitness supplement,Fitness,2469,15-06-2023
Home decor,Household,5285,08-01-2023
Library fee,Education,2516,13-09-2023
Miscellaneous expense,Personal Care,6758,15-05-2023
Clothes shopping,Shopping,7481,06-03-2023
Anniversary present,Gifts,9576,19-02-2023
Supermarket visit,Groceries,3174,04-08-2023
Health insurance premium,Insurance,9945,13-07-2023
Online store order,Shopping,3536,08-04-2023
Home decor,Household,335,09-07-2023
Electricity bill,Utilities,5047,07-06-2023
Clothes shopping,Shopping,8277,29-11-2023
Lab test fee,Healthcare,6823,30-06-2023
Internet bill,Utilities,8671,21-06-2023
House maintenance fee,Rent,7617,08-08-2023
Water bill,Utilities,9156,01-11-2023
Miscellaneous expense,Medical,6351,26-05-2023
Home decor,Household,7267,21-11-2023
Home insurance,Insurance,1725,14-02-2023
Apartment rent,Rent,369,12-11-2023
Lunch with friends,Dining Out,8233,16-11-2023
Health insurance premium,Insurance,7376,15-09-2023
Gym membership,Fitness,4849,04-08-2023
Footwear purchase,Shopping,7548,10-10-2023
Electricity bill,Utilities,3304,29-08-2023
Water bill (rent included),Rent,7701,31-07-2023
Gift cards,Gifts,6584,04-01-2023
Water bill,Utilities,8415,26-05-2023
Miscellaneous expense,Dining,5136,01-08-2023
Cleaning supplies,Household,168,01-08-2023
Bought vegetables,Groceries,530,20-03-2023
Gas connection payment,Utilities,5590,29-03-2023
Yoga class fee,Fitness,4062,12-10-2023
Water bill,Utilities,6544,27-01-2023
Yoga class fee,Fitness,2211,22-11-2023
Water bill,Utilities,6704,12-06-2023
Footwear purchase,Shopping,7266,29-04-2023
House maintenance fee,Rent,8361,02-03-2023
Gift cards,Gifts,6522,18-11-2023
Miscellaneous expense,Dining,5382,15-04-2023
Bus pass recharge,Transport,520,12-08-2023
Concert ticket,Entertainment,555,13-11-2023
Health insurance premium,Insurance,9468,15-07-2023
Concert ticket,Entertainment,7533,21-11-2023
Anniversary present,Gifts,3156,03-05-2023
Birthday gift,Gifts,4964,10-04-2023
Health insurance premium,Insurance,6294,14-05-2023
Cleaning supplies,Household,4605,12-02-2023
Course fee,Education,9592,22-02-2023
Monthly housing fee,Rent,9863,04-03-2023
House maintenance fee,Rent,4727,15-05-2023
Miscellaneous expense,Medical,1367,11-09-2023
Water bill,Utilities,6502,21-02-2023
Flight booking,Travel,6878,07-02-2023
Flight booking,Travel,3545,18-12-2023
Ordered food online,Dining Out,5237,21-11-2023
Medicine purchase,Healthcare,3045,02-06-2023
Concert ticket,Entertainment,9394,20-11-2023
Pet food,Pets,2020,25-06-2023
Internet bill,Utilities,9930,07-10-2023
Concert ticket,Entertainment,8648,11-05-2023
House maintenance fee,Rent,584,02-10-2023
Concert ticket,Entertainment,3643,06-07-2023
House maintenance fee,Rent,583,17-06-2023
Book purchase,Education,1467,21-12-2023
Online class payment,Education,4583,04-09-2023
Clothes shopping,Shopping,5810,29-12-2023
Home insurance,Insurance,4922,28-08-2023
Tour package,Travel,8499,24-07-2023
Online store order,Shopping,2933,12-04-2023
Home decor,Household,4705,21-07-2023
Water bill (rent included),Rent,2814,16-04-2023
Tour package,Travel,7409,05-08-2023
